method,windows,total_ms_median,total_ms_std,fog_latency_ms_median,storage_items_per_window_median,storage_bytes_per_window_median,within_500ms_windows,violates_500ms_windows,model_note
cloud_only,20,40.0,0.0,0.0,100.0,800.0,20,0,"E7 uses analytical hardware-target latency constants (see config.py). These are NOT comparable to E2 Python-measured latencies, which are 20–50x higher due to unoptimised Python big-integer arithmetic."
fog_plaintext,20,13.0,0.0,1.0,1.0,8.0,20,0,"E7 uses analytical hardware-target latency constants (see config.py). These are NOT comparable to E2 Python-measured latencies, which are 20–50x higher due to unoptimised Python big-integer arithmetic."
paillier_fog_convert,20,393.001,0.0,381.0,1.0,512.0,20,0,"E7 uses analytical hardware-target latency constants (see config.py). These are NOT comparable to E2 Python-measured latencies, which are 20–50x higher due to unoptimised Python big-integer arithmetic."
ours,20,399.001,75.3937034925052,387.0,1.0,512.0,12,8,"E7 uses analytical hardware-target latency constants (see config.py). These are NOT comparable to E2 Python-measured latencies, which are 20–50x higher due to unoptimised Python big-integer arithmetic."
