n,window_ms,plaintext_ms_median,plaintext_ms_std,aes_ms_median,aes_ms_std,paillier_nobatch_ms_median,paillier_nobatch_ms_std,ours_ms_median,ours_ms_std,ours_enclave_ms_median,ours_enclave_ms_std,ours_kmm_ms_median,ours_kmm_ms_std,ours_storage_ms_median,ours_storage_ms_std,ours_within_500ms,conclusion
10,500.0,0.002900022082030773,0.000550701360215366,0.5128999473527074,13.85034831875514,1655.0242999801412,59.92388740957997,1811.9992000283673,54.98447770384621,1472.9806000832468,54.14409241841963,150.40000004228204,3.4598691380942297,39.07910000998527,2.550941238507284,False,violates_500ms_window
50,500.0,0.002200016751885414,0.00025166306411450006,0.6980000762268901,0.0593175512326929,7514.25859995652,60.53726019108644,7339.360799989663,549.7681506578501,7017.852300079539,496.3084251105239,143.86720000766218,39.95297155516766,39.34110002592206,10.525042084478669,False,violates_500ms_window
100,500.0,0.001600012183189392,0.00041633637005961685,0.46030001249164343,0.04540936852891603,7657.807099982165,91.91104480217567,7407.053800066933,467.8387947438526,7243.562799994834,473.58569860047487,71.17669994477183,3.5361850782882733,19.22519993968308,2.209689211885479,False,violates_500ms_window
200,500.0,0.00200001522898674,0.0003605578729910272,0.8900999091565609,0.026690299556091777,14682.922100066207,553.8611094113427,14669.358900049701,14.441053968192502,14510.30379999429,15.200430349312372,67.53140001092106,0.8038285083984472,19.083600025624037,0.47321552027335845,False,violates_500ms_window
500,500.0,0.0030999071896076202,0.0004163177336972622,2.4016000097617507,0.9301244011602016,36849.52920000069,9831.009027238231,39717.10260002874,15022.676852284705,39513.0468000425,14964.223749040068,100.1408000010997,34.2146484505633,25.677199941128492,3.406425744464101,False,violates_500ms_window
