k_fog_aggregates,he_additions,combine_latency_ms_median,combine_latency_ms_std,bytes_received,ciphertext_bytes,within_500ms,note
1,0,0.0038999714888632298,0.0004844845921874673,512,512,True,"KMM combine timing excludes ciphertext generation, zero encryption, and Paillier decryption"
2,1,0.0430499785579741,0.0042607782280976855,1024,512,True,"KMM combine timing excludes ciphertext generation, zero encryption, and Paillier decryption"
5,4,0.1340499729849398,0.012676826527485708,2560,512,True,"KMM combine timing excludes ciphertext generation, zero encryption, and Paillier decryption"
10,9,0.30720006907358766,0.1464199165272792,5120,512,True,"KMM combine timing excludes ciphertext generation, zero encryption, and Paillier decryption"
20,19,0.6057000136934221,0.08393316245314973,10240,512,True,"KMM combine timing excludes ciphertext generation, zero encryption, and Paillier decryption"
50,49,1.553199952468276,0.2538415948395158,25600,512,True,"KMM combine timing excludes ciphertext generation, zero encryption, and Paillier decryption"
100,99,3.2418500049971044,0.50943959690859,51200,512,True,"KMM combine timing excludes ciphertext generation, zero encryption, and Paillier decryption"
