method,runs,completion_pct_mean,completion_pct_std,completion_pct_ci95,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_std,deadline_satisfaction_pct_ci95,redelegation_rate_pct_mean,redelegation_rate_pct_std,redelegation_rate_pct_ci95,ls_target_accuracy_pct_mean,ls_target_accuracy_pct_std,ls_target_accuracy_pct_ci95,to_target_accuracy_pct_mean,to_target_accuracy_pct_std,to_target_accuracy_pct_ci95,workload_stdev_mean,workload_stdev_std,workload_stdev_ci95,baseline_note
random,5,88.56,1.1669404440673068,1.0228683981822893,81.32,1.3631764375897897,1.1948768304724935,25.422222222222224,2.593200986816235,2.2730408848495296,25.12470035106947,2.0949854369926535,1.8363357008031689,23.715867527358903,1.5669449192943417,1.3734877797637073,0.1837368290613333,0.001599774992660367,0.0014022646078587805,simple heuristic baseline; no claim of state-of-the-art tuning
round_robin,5,88.75,0.0,0.0,81.48,0.42514703338962534,0.3726578054998974,25.0,0.0,0.0,25.721690660176126,1.2429684862250836,1.0895099154030048,25.223453962368044,0.5272901910296944,0.46219023071640863,0.18228449389972876,0.0,0.0,simple heuristic baseline; no claim of state-of-the-art tuning
threshold,5,100.0,0.0,0.0,92.46000000000001,0.5284411036246183,0.46319905008538553,0.0,0.0,0.0,22.57892280626044,1.0228938588784373,0.8966059992699509,62.066666414362295,0.3899891359691726,0.34184054965728344,0.1560453937022627,0.0,0.0,simple heuristic baseline; no claim of state-of-the-art tuning
capacity,5,100.0,0.0,0.0,93.03,0.44243643611257866,0.38781263517322373,0.0,0.0,0.0,100.0,0.0,0.0,77.6240123076341,5.241608252259433,4.594472206482575,0.15282019437616692,0.0006314242045014378,0.0005534677180103458,simple heuristic baseline; no claim of state-of-the-art tuning
